Siruta,Localitate,PersonalMediu_public,PersonalMediu_privat
1017,Municipiul Alba Iulia,731.0,246.0
1071,Ciugud,0.0,2.0
1151,Oras Abrud,59.0,18.0
1213,Municipiul Aiud,182.0,48.0
1348,Municipiul Blaj,150.0,41.0
1455,Oras Campeni,88.0,20.0
1696,Oras Cugir,75.0,20.0
1794,Oras Ocna Mures,5.0,21.0
1874,Municipiul Sebes,158.0,63.0
1936,Oras Zlatna,0.0,14.0
2130,Albac,0.0,2.0
2309,Almasu Mare,0.0,1.0
2381,Arieseni,0.0,2.0
2577,Avram Iancu,0.0,1.0
2915,Oras Baia De Aries,0.0,4.0
2988,Berghin,1.0,1.0
3039,Bistra,0.0,4.0
3397,Blandiana,0.0,1.0
3459,Bucium,0.0,2.0
3761,Cenade,0.0,2.0
3805,Cergau,1.0,1.0
3841,Ceru-Bacainti,0.0,1.0
3958,Cetatea De Balta,1.0,2.0
4008,Ciuruleasa,0.0,1.0
4106,Calnic,0.0,2.0
4142,Cricau,1.0,2.0
4188,Craciunelu De Jos,1.0,4.0
4240,Daia Romana,0.0,3.0
4268,Dostat,1.0,3.0
4302,Farau,0.0,2.0
4366,Galda De Jos,37.0,7.0
4482,Garbova,5.0,1.0
4525,Garda De Sus,0.0,2.0
4703,Hoparta,0.0,3.0
4767,Horea,0.0,2.0
4927,Ighiu,1.0,8.0
4981,Intregalde,0.0,0.0
5103,Jidvei,0.0,4.0
5167,Livezile,0.0,1.0
5210,Lopadea Noua,0.0,2.0
5309,Lunca Muresului,0.0,2.0
5336,Lupsa,1.0,2.0
5577,Metes,0.0,3.0
5700,Mihalt,0.0,3.0
5755,Miraslau,0.0,1.0
5826,Mogos,0.0,0.0
6048,Noslac,0.0,2.0
6119,Ocolis,0.0,0.0
6164,Ohaba,0.0,2.0
6217,Pianu,1.0,4.0
6271,Poiana Vadului,0.0,1.0
6397,Ponor,0.0,2.0
6468,Posaga,0.0,2.0
6547,Radesti,0.0,1.0
6592,Rametea,0.0,1.0
6627,Ramet,0.0,2.0
6761,Rosia Montana,1.0,2.0
6930,Rosia De Secas,0.0,0.0
6976,Salciua,0.0,2.0
7044,Salistea,0.0,2.0
7099,Sasciori,2.0,3.0
7197,Scarisoara,1.0,3.0
7348,Sancel,0.0,4.0
7384,Santimbru,1.0,3.0
7446,Sohodol,0.0,2.0
7767,Stremt,0.0,2.0
7810,Sibot,0.0,4.0
7865,Sona,1.0,2.0
7945,Spring,0.0,2.0
8014,Sugag,1.0,5.0
8096,Oras Teius,0.0,19.0
8158,Unirea,0.0,4.0
8229,Vadu Motilor,0.0,1.0
8354,Valea Lunga,0.0,3.0
8425,Vidra,1.0,2.0
8826,Vintu De Jos,1.0,3.0
9019,Cut,0.0,1.0
9026,Bucerdea Granoasa,0.0,2.0
9262,Municipiul Arad,903.0,842.0
9280,Fantanele,0.0,6.0
9333,Livada,0.0,5.0
9360,Sofronea,0.0,2.0
9397,Vladimirescu,0.0,10.0
9459,Oras Chisineu-Cris,1.0,65.0
9495,Oras Curtici,2.0,18.0
9538,Oras Ineu,86.0,33.0
9574,Oras Lipova,35.0,30.0
9627,Oras Nadlac,1.0,10.0
9654,Oras Pancota,1.0,11.0
9690,Oras Sebis,32.0,31.0
9743,Almas,0.0,2.0
9798,Apateu,0.0,3.0
9832,Archis,0.0,2.0
9887,Bata,0.0,3.0
9930,Beliu,0.0,2.0
10006,Birchis,10.0,3.0
10051,Barsa,0.0,2.0
10104,Barzava,0.0,4.0
10195,Bocsig,0.0,2.0
10239,Brazii,0.0,2.0
10293,Buteni,0.0,4.0
10346,Carand,0.0,1.0
10373,Cermei,0.0,2.0
10417,Chisindia,0.0,2.0
10453,Conop,0.0,4.0
10514,Covasint,0.0,4.0
10532,Craiva,0.0,2.0
10649,Dezna,30.0,3.0
10701,Dieci,0.0,1.0
10765,Ususau,0.0,1.0
10827,Felnac,2.0,5.0
10872,Ghioroc,10.0,10.0
10916,Graniceri,0.0,1.0
10943,Gurahont,14.0,10.0
11058,Halmagiu,0.0,4.0
11174,Halmagel,0.0,1.0
11236,Hasmas,0.0,1.0
11307,Ignesti,0.0,0.0
11352,Iratosu,0.0,3.0
11398,Macea,0.0,3.0
11423,Misca,0.0,3.0
11478,Moneasa,6.0,16.0
11502,Olari,0.0,1.0
11539,Paulis,2.0,3.0
11584,Oras Pecica,6.0,13.0
11637,Peregu Mare,0.0,3.0
11664,Petris,4.0,1.0
11735,Pilu,0.0,1.0
11762,Plescuta,0.0,2.0
11842,Savarsin,7.0,1.0
11940,Secusigiu,0.0,2.0
11995,Seleus,0.0,2.0
12037,Semlac,0.0,3.0
12055,Sintea Mare,0.0,2.0
12091,Oras Santana,2.0,18.0
12126,Socodor,0.0,5.0
12144,Sagu,0.0,3.0
12206,Seitin,0.0,2.0
12224,Sepreus,0.0,3.0
12242,Sicula,2.0,4.0
12288,Silindia,0.0,1.0
12340,Simand,0.0,3.0
12368,Siria,2.0,9.0
12402,Sistarovat,3.0,0.0
12457,Taut,0.0,3.0
12509,Tarnova,0.0,5.0
12572,Varadia De Mures,1.0,1.0
12643,Vinga,0.0,5.0
12689,Varfurile,0.0,2.0
12778,Zabrani,0.0,3.0
12812,Zarand,0.0,2.0
12849,Zerind,0.0,3.0
12876,Zimandu Nou,0.0,5.0
12912,Dorobanti,0.0,2.0
12920,Frumuseni,0.0,3.0
12938,Zadareni,0.0,1.0
13169,Municipiul Pitesti,1253.0,616.0
13187,Bascov,0.0,14.0
13276,Bradu,0.0,10.0
13301,Oras Mioveni,130.0,54.0
13365,Maracineni,0.0,5.0
13392,Oras Stefanesti,54.0,9.0
13490,Municipiul Campulung,318.0,100.0
13524,Valea Mare Pravat,1.0,4.0
13622,Municipiul Curtea De Arges,166.0,65.0
13668,Oras Costesti,73.0,25.0
13757,Oras Topoloveni,3.0,40.0
13819,Albestii De Arges,0.0,3.0
13891,Albestii De Muscel,0.0,1.0
13935,Albota,0.0,5.0
13999,Aninoasa,0.0,2.0
14049,Arefu,0.0,2.0
14085,Babana,0.0,3.0
14165,Baiculesti,0.0,3.0
14272,Balilesti,0.0,2.0
14352,Beleti-Negresti,0.0,3.0
14405,Berevoesti,0.0,4.0
14450,Barla,0.0,3.0
14584,Bogati,0.0,4.0
14673,Boteni,0.0,3.0
14726,Botesti,0.0,2.0
14753,Bradulet,40.0,2.0
14851,Budeasa,0.0,4.0
